Titel;Album;Interpret;Jahr;;Titel;Album;Interpret;Jahr;;;;;
Downstream;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Downstream;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;1;1;1
Dreamer;Crime Of The Century;Supertramp;1974;;Dreamer;Crime Of The Century;Supertramp;1974;;1;1;1;1
Dreamer (live);Paris;Supertramp;1980;;Dreamer;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
Dreamer;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Dreamer;The Very Best Of Supertramp;Supertramp;1990;;1;#NV;1;1
Dreamer;The Very Best Of Supertramp;Supertramp;1990;;Dreamer (live);Paris;Supertramp;1980;;#NV;1;1;1
Drifter's Escape;John Wesley Harding;Bob Dylan;1967;;Drifter's Escape;John Wesley Harding;Bob Dylan;1967;;1;1;1;1
Driftin' Too Far From Shore;Knocked Out Loaded;Bob Dylan;1986;;Driftin' Too Far From Shore;Knocked Out Loaded;Bob Dylan;1986;;1;1;1;1
Early Mornin' Rain;Self Portrait;Bob Dylan;1970;;Early Mornin' Rain;Self Portrait;Bob Dylan;1970;;1;1;1;1
Easy Does It;Crisis? What Crisis;Supertramp;1975;;Easy Does It;Crisis? What Crisis;Supertramp;1975;;1;1;1;1
Emotionally Yours;Empire Burlesque;Bob Dylan;1985;;Emotionally Yours;Empire Burlesque;Bob Dylan;1985;;1;1;1;1
Endless Highway (live);Before The Flood;Bob Dylan;1974;;Endless Highway (live);Before The Flood;Bob Dylan;1974;;1;1;1;1
Even In The Quietest Moments;Even In The Quietest Moments;Supertramp;1977;;Even In The Quietest Moments;Even In The Quietest Moments;Supertramp;1977;;1;1;1;1
Even In The Quietest Moments;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Even In The Quietest Moments;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;1;1;1
Even In The Quietest Moments;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Even In The Quietest Moments;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;1;1;1
Ever Open Door;Brother Where You Bound;Supertramp;1985;;Ever Open Door;Brother Where You Bound;Supertramp;1985;;1;1;1;1
Every Grain Of Sand;Shot Of Love;Bob Dylan;1981;;Every Grain Of Sand;Shot Of Love;Bob Dylan;1981;;1;1;1;1
Everything Is Broken;Oh Mercy;Bob Dylan;1989;;Everything Is Broken;Oh Mercy;Bob Dylan;1989;;1;1;1;1
Everything Is Broken;The Best Of Bob Dylan;Bob Dylan;1997;;Everything Is Broken;The Best Of Bob Dylan;Bob Dylan;1997;;1;1;1;1
Father Of Night;New Morning;Bob Dylan;1970;;Father Of Night;New Morning;Bob Dylan;1970;;1;1;1;1
Final Theme ('Pat Garrett And Billy The Kid');Pat Garrett And Billy The Kid;Bob Dylan;1973;;Final Theme ('Pat Garrett And Billy The Kid');Pat Garrett And Billy The Kid;Bob Dylan;1973;;1;1;1;1
Fixin' To Die Blues;Bob Dylan;Bob Dylan;1962;;Fixin' To Die Blues;Bob Dylan;Bob Dylan;1962;;1;1;1;1
Floater;Love And Theft;Bob Dylan;2001;;Floater;Love And Theft;Bob Dylan;2001;;1;1;1;1
Fool Such as I;Dylan;Bob Dylan;1973;;Fool Such as I;Dylan;Bob Dylan;1973;;1;1;1;1
Fool's Overture;Even In The Quietest Moments;Supertramp;1977;;Fool's Overture;Even In The Quietest Moments;Supertramp;1977;;1;1;1;1
Fool's Overture (live);Paris;Supertramp;1980;;Fool's Overture;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;#NV;1;#NV
Fool's Overture;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Fool's Overture (live);Paris;Supertramp;1980;;#NV;1;1;1
Forever Young (II);Planet Waves;Bob Dylan;1974;;Forever;Indelibly Stamped;Supertramp;1971;;1;1;#NV;1
Forever Young;Planet Waves;Bob Dylan;1974;;Forever Young;Planet Waves;Bob Dylan;1974;;1;1;1;1
Forever Young;The Best Of Bob Dylan;Bob Dylan;1997;;Forever Young;The Best Of Bob Dylan;Bob Dylan;1997;;1;1;1;1
Forever;Indelibly Stamped;Supertramp;1971;;Forever Young (II);Planet Waves;Bob Dylan;1974;;#NV;#NV;1;#NV
Fourth Time Around;Blonde On Blonde;Bob Dylan;1966;;Fourth Time Around;Blonde On Blonde;Bob Dylan;1966;;1;1;1;1
Frankie And Albert;Good As I Been To You;Bob Dylan;1992;;Frankie And Albert;Good As I Been To You;Bob Dylan;1992;;1;1;1;1
Free As A Bird;Free As A Bird;Supertramp;1987;;Free As A Bird;Free As A Bird;Supertramp;1987;;1;1;1;1
Free As A Bird (live);It Was The Best Of Times;Supertramp;1999;;Free As A Bird;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;1;#NV;1;#NV
Free As A Bird;Retrospectacle - The Supertramp Anthology;Supertramp;2005;;Free As A Bird;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;1;#NV;1;1
Free As A Bird;The Very Best Of Supertramp Vol. 2;Supertramp;1992;;Free As A Bird (live);It Was The Best Of Times;Supertramp;1999;;#NV;1;1;#NV
Freight Train Blues;Bob Dylan;Bob Dylan;1962;;Freight Train Blues;Bob Dylan;Bob Dylan;1962;;1;1;1;1
